id,grieks,translit,translitz,nedS,nedI,nedSz,nedIz,strong,CGTparsing,CGTparsingT,CGTparsingN,CGTparsingTN,griUniekeid,bijvolgende,samen
2713,ουπω,oupō,oupo,NIET-als-nog,nog niet,NIET-als-nog,nog niet,3768,ADV-N,ADV,BIJW-N,BIJW-N,3792,NULL,NULL
2714,νοειτε,noeite,noeite,<i>(jullie)-zijn</i>-DENKZINnen<i>de</i>,<i>(jullie) zijn</i> bevatten<i>de</i>,jullie-zijn-DENKZINnende,jullie zijn bevattende,3539,V-RIAI-2P,V-PAI-2P,W-HOAA-2M,W-Pr-Act-Ind-2M,3607,NULL,NULL
2715,εισπορευομενον,eisporeuomenon,eisporeuomenon,NAARBINNEN-GAAN<i>de-zijnde</i><sup>๏</sup>,naar binnen (in)gaan<i>de zijnde</i><sup>๏</sup>,NAARBINNEN-GAANde-zijnde,naar binnen (in)gaande zijnde,1531,V-NIMP-NSN,V-PNP-NSN,W-GOMD-NOE,W-Pr-Med-Ptc-NOE,1478,NULL,NULL
2716,κοιλιαν,koilian,koilian,HOLTE,onderlijf,HOLTE,onderlijf,2836,N-ASF,N-ASF,N-AVE,N-AVE,3014,NULL,NULL
2717,χωρει,k<sup>h</sup>ōrei,khorei,<i>(hij)-is</i>-RUIMTE-<i>ende</i>,<i>(hij) is</i> ruim zijn<i>de</i>,(hij)-is-RUIMTE-ende,(hij) is ruim zijnde,5562,V-RIAI-3S,V-PAI-3S,W-HOAA-3E,W-Pr-Act-Ind-3E,1051,NULL,NULL
2718,αφεδρωνα,ap<sup>h</sup>edrōna,aphedrona,VANAF-VESTIGing,privaat,VANAF-VESTIGing,privaat,856,N-ASM,N-ASM,N-AME,N-AME,526,NULL,NULL
2719,εκβαλλεται,ekballetai,ekballetai,<i>(hij)-is</i>-UIT-WERPEN<i>de</i><sup>๏</sup>,<i>(hij) is</i> uitwerpen<i>de</i><sup>๏</sup>,(hij)-is-UIT-WERPENde๏,(hij) is uitwerpende๏,1544,V-RIMI-3S,V-PPI-3S,W-HOMA-3E,W-Pr-Med-Ind-3E,1483,NULL,NULL
2720,εκπορευομενα,ekporeuomena,ekporeuomena,UIT-GAAN<i>de-zijnden</i><sup>๏</sup>,uitgaan<i>de zijnden</i><sup>๏</sup>,UIT-GAANde-zijnden,uitgaande zijnden,1607,V-NIMP-NPN,V-PNP-NPN,W-GOMD-NOM,W-Pr-Med-Ptc-NOM,1549,NULL,NULL
2721,εξερχεται,ek<sup>s</sup>erk<sup>h</sup>etai,ekserkhetai,<i>(hij)-is</i>-UIT-KOMEN<i>de</i><sup>๏</sup>,<i>(hij) is</i> uitkomen<i>de</i><sup>๏</sup>,(hij)-is-UIT-KOMENde๏,(hij) is uitkomende๏,1831,V-RIMI-3S,V-PNI-3S,W-HOMA-3E,W-Pr-Med-Ind-3E,2081,NULL,NULL
2722,κακεινα,kakeina,kakeina,EN-UIT-te-ZIJN,dat (ook),EN-UIT-te-ZIJN,dat (ook),2548,D-NPN-K,D-NPN-K,D-NOM-K,D-NOM-K,2685,NULL,NULL
2724,διαλογισμοι,dialogismoi,dialogismoi,DOOR-VERZAMELing<i>en</i>,redenering<i>en</i>,DOOR-VERZAMELingen,redeneringen,1261,N-NPM,N-NPM,N-NMM,N-NMM,1215,NULL,NULL
2725,φονοι,p<sup>h</sup>onoi,phonoi,MOORD<i>en</i>,moord<i>en</i>,MOORDen,moorden,5408,N-NPM,N-NPM,N-NMM,N-NMM,4179,NULL,NULL
2726,μοιχειαι,moik<sup>h</sup>eiai,moikheiai,OVERSPEL<sup>mv</sup>,echtbreuk<i>en</i>,OVERSPEL,echtbreuken,3430,N-NPF,N-NPF,N-NVM,N-NVM,3498,NULL,NULL
2727,πορνειαι,porneiai,porneiai,HOERerij<i>en</i>,hoererij<i>en</i>,HOERerijen,hoererijen,4202,N-NPF,N-NPF,N-NVM,N-NVM,4359,NULL,NULL
2728,κλοπαι,klopai,klopai,DEKking<i>en</i>,diefstal<i>len</i>,DEKkingen,diefstallen,2829,N-NPF,N-NPF,N-NVM,N-NVM,3008,NULL,NULL
2729,ψευδομαρτυριαι,p<sup>s</sup>eudomarturiai,pseudomarturiai,VALS-geMARKEERde<i>n</i>,vals<i>e</i> getuigenis<i>sen</i>,VALS-geMARKEERden,valse getuigenissen,5577,N-NPF,N-NPF,N-NVM,N-NVM,4598,NULL,NULL
2730,βλασφημιαι,blasp<sup>h</sup>ēmiai,blasphemiai,SCHADE-VERKLARing<i>en</i>,lastering<i>en</i>,SCHADE-VERKLARingen,lasteringen,988,N-NPF,N-NPF,N-NVM,N-NVM,934,NULL,NULL
2731,κοινουντα,koinounta,koinounta,GEMEEN-maken<i>de-zijnden</i>,ontwijden<i>de zijnden</i>,GEMEEN-makende-zijnden,ontwijdende zijnden,2840,V-NIAP-NPN,V-PAP-NPN,W-GOAD-NOM,W-Pr-Act-Ptc-NOM,3022,NULL,NULL
2732,ανιπτοις,aniptois,aniptois,<i>aan</i>-ON-geWASSEN,<i>aan</i> ongewassen,aan-ON-geWASSEN,aan ongewassen,449,A-DPF,A-DPF,A-DVM,A-DVM,399,NULL,NULL
2733,χερσιν,k<sup>h</sup>ersin,khersin,HAND<i>en</i>,hand<i>en</i>,HANDen,handen,5495,N-DPF,N-DPF,N-DVM,N-DVM,1021,NULL,NULL
2734,τυρου,turou,turou,<i>van</i>-TYRUS,<i>van</i> Tyrus,van-TYRUS,van Tyrus,5184,N-GSF,N-GSF,N-GVE,N-GVE,5468,NULL,NULL
2735,σιδωνος,sidōnos,sidonos,<i>van</i>-SIDON,<i>van</i> Sidon,van-SIDON,van Sidon,4605,N-GSF,N-GSF,N-GVE,N-GVE,4794,NULL,NULL
2736,χαναναια,k<sup>h</sup>ananaia,khananaia,KANANees,Kananees,KANANees,Kananees,5478,A-NSF,A-NSF,A-NVE,A-NVE,1004,NULL,NULL
2737,εκεινων,ekeinōn,ekeinon,UIT-te-ZIJN,dat/die,UIT-te-ZIJN,dat/die,1565,D-GPN,D-GPN,D-GOM,D-GOM,1502,NULL,NULL
2738,εξελθουσα,ek<sup>s</sup>elt<sup>h</sup>ousa,ekselthousa,UIT-KOMEN<i>de</i>,uitkomen<i>de</i>,UIT-KOMENde,uitkomende,1831,V-NNAP-NSF,V-2AAP-NSF,W-GHAD-NVE,W-2Ao-Act-Ptc-NVE,2081,NULL,NULL
2740,δαιμονιζεται,daimonizetai,daimonizetai,<i>(hij)-is</i>-LEER-ende-<i>ende</i><sup>๏</sup>,<i>(hij) is</i> demonisch bezeten<sup>๏</sup>,(hij)-is-LEER-ende-ende๏,(hij) is demonisch bezeten๏,1139,V-RIMI-3S,V-PNI-3S,W-HOMA-3E,W-Pr-Med-Ind-3E,1093,NULL,NULL
2741,απεκριθη,apekrit<sup>h</sup>ē,apekrithe,<i>(hij)-wordt</i>-VANAF-<i>ge</i>RICHT,<i>(hij) wordt ge</i>antwoord,hij-wordt-VANAF-geRICHT,hij wordt geantwoord,611,V-NNPI-3S,V-ADI-3S,W-GHPA-3E,W-Ao-Pas-Ind-3E,590,NULL,NULL
2743,ηρωτουν,ērōtoun,erotoun,<i>(zij)</i>-GUTS-VERZOCHT<i>en</i>,<i>(zij)</i> vroeg<i>en</i>,(zij)-GUTS-VERZOCHTen,(zij) vroegen,2065,V-PIAI-3P,V-IAI-3P,W-VOAA-3M,W-Im-Act-Ind-3M,1946,NULL,NULL
2744,κραζει,krazei,krazei,<i>(hij)-is</i>-SCHREEUWEN<i>de</i>,<i>(hij) is</i> schreeuwen<i>de</i>,zij-is-SCHREEUWENde,zij is schreeuwende,2896,V-RIAI-3S,V-PAI-3S,W-HOAA-3E,W-Pr-Act-Ind-3E,3093,NULL,NULL
2745,απεσταλην,apestalēn,apestalen,<i>(ik)-word</i>-VANAF-<i>ge</i>STEL<i>d</i>,<i>(ik) word</i> af<i>ge</i>vaardig<i>d</i>,(ik)-word-VANAF-geSTELd,(ik) word afgevaardigd,649,V-NNPI-1S,V-2API-1S,W-GHPA-1E,W-2Ao-Pas-Ind-1E,632,NULL,NULL
2746,ελθουσα,elt<sup>h</sup>ousa,elthousa,KOMEN<i>de</i>,komen<i>de</i>,KOMENde,komende,2064,V-NNAP-NSF,V-2AAP-NSF,W-GHAD-NVE,W-2Ao-Act-Ptc-NVE,1925,NULL,NULL
2747,προσεκυνησεν,prosekunēsen,prosekunesen,<i>(hij)</i>-NAARTOE-WEMEL<i>t</i>,<i>(hij)</i> aanbid<i>t</i>,zij-NAARTOE-WEMELt,zij aanbidt,4352,V-NNAI-3S,V-AAI-3S,W-GHAA-3E,W-Ao-Act-Ind-3E,4532,NULL,NULL
2748,βοηθει,boēt<sup>h</sup>ei,boethei,<i>wees-(jij)</i>-AANROEPEN<i>de!</i>,<i>wees (jij)</i> helpen<i>de!</i>,wees-(jij)-AANROEPENde!,wees (jij) helpende!,997,V-NIAM-2S,V-PAM-2S,W-GOAG-2E,W-Pr-Act-Imp-2E,946,NULL,NULL
2749,τεκνων,teknōn,teknon,VOORTgeBRACHTe<i>n</i>,kind<i>eren</i>,VOORTgeBRACHTen,kinderen,5043,N-GPN,N-GPN,N-GOM,N-GOM,5227,NULL,NULL
2750,κυναριοις,kunariois,kunariois,WEMEL-tje<i>s</i>,hondje<i>s</i>,WEMEL-tjes,hondjes,2952,N-DPN,N-DPN,N-DOM,N-DOM,3140,NULL,NULL
2752,κυναρια,kunaria,kunaria,WEMEL-tje<i>s</i>,hondje<i>s</i>,WEMEL-tjes,hondjes,2952,N-NPN,N-NPN,N-NOM,N-NOM,3140,NULL,NULL
2753,ψιχιων,p<sup>s</sup>ik<sup>h</sup>iōn,psikhion,KRUIMEL<i>s</i>,kruimel<i>s</i>,KRUIMELs,kruimels,5589,N-GPN,N-GPN,N-GOM,N-GOM,4604,NULL,NULL
2754,των,tōn,ton,DE/HET,de,DE/HET,de,3588,T-GPN,T-GPN,T-GOM,T-GOM,2380,NULL,NULL
2755,πιπτοντων,piptontōn,piptonton,VALlen<i>de-zijnden</i>,vallen<i>de zijnden</i>,VALlende-zijnden,vallende zijnden,4098,V-NIAP-GPN,V-PAP-GPN,W-GOAD-GOM,W-Pr-Act-Ptc-GOM,4252,NULL,NULL
2756,τραπεζης,trapezēs,trapezes,VIER-VOET,tafel,VIER-VOET,tafel,5132,N-GSF,N-GSF,N-GVE,N-GVE,5411,NULL,NULL
2757,κυριων,kuriōn,kurion,KRACHTIGE<i>n</i>,her<i>en</i>,KRACHTIGEn,heren,2962,N-GPM,N-GPM,N-GMM,N-GMM,3151,NULL,NULL
2758,ω,ō,o,O!,o!,O!,o!,5599,INJ,INJ,TUS,TUS,3644,NULL,NULL
2759,γυναι,gunai,gunai,VROUW!,vrouw!,VROUW!,vrouw!,1135,N-VSF,N-VSF,N-VVE,N-VVE,2199,NULL,NULL
2760,αναβας,anabas,anabas,OPWAARTS-STAPpen<i>de</i>,omhooggaan<i>de</i>,OPWAARTS-STAPpende,omhooggaande,305,V-NNAP-NSM,V-2AAP-NSM,W-GHAD-NME,W-2Ao-Act-Ptc-NME,263,NULL,NULL
2761,εκαθητο,ekat<sup>h</sup>ēto,ekatheto,<i>(hij)</i>-NEER-was<sup>๏</sup>,<i>(hij)</i> zat<sup>๏</sup>,hij-NEER-was,hij zat,2521,V-PIMI-3S,V-INI-3S,W-VOMA-3E,W-Im-Med-Ind-3E,2888,NULL,NULL
2762,χωλους,k<sup>h</sup>ōlous,kholous,VERLAMD,lam<i>me</i>,VERLAMD,lamme,5560,A-APM,A-APM,A-AMM,A-AMM,1046,NULL,NULL
2763,τυφλους,tup<sup>h</sup>lous,tuphlous,BLIND<i>e</i>,blind<i>e</i>,BLINDe,blinde,5185,A-APM,A-APM,A-AMM,A-AMM,5457,NULL,NULL
2764,κωφους,kōp<sup>h</sup>ous,kophous,STOM<i>pe</i>,dove/stomme,STOMpe,dove/stomme,2974,A-APM,A-APM,A-AMM,A-AMM,3056,NULL,NULL
2765,κυλλους,kullous,kullous,MANK<i>e</i>,kreupel<i>e</i>,MANKe,kreupele,2948,A-APM,A-APM,A-AMM,A-AMM,3136,NULL,NULL
2766,ετερους,<sup>h</sup>eterous,heterous,VERSCHILLEND<i>e</i>,andersoortig,VERSCHILLENDe,andersoortig,2087,A-APM,A-APM,A-AMM,A-AMM,2327,NULL,NULL
2767,ερριψαν,err<sup>h</sup>ip<sup>s</sup>an,errhipsan,<i>(zij)</i>-GOOIEN,<i>(zij)</i> slingeren,zij-GOOIEN,zij slingeren,4496,V-NNAI-3P,V-AAI-3P,W-GHAA-3M,W-Ao-Act-Ind-3M,4694,NULL,NULL
2768,ποδας,podas,podas,VOET<i>en</i>,voet<i>en</i>,VOETen,voeten,4228,N-APM,N-APM,N-AMM,N-AMM,4388,NULL,NULL
2769,θαυμασαι,t<sup>h</sup>aumasai,thaumasai,<i>te</i>-VERBAZEN,<i>te</i> verbazen,te-VERBAZEN,te verbazen,2296,V-NNAN,V-AAN,W-GHAO,W-Ao-Act-Inf,5284,NULL,NULL
2770,βλεποντας,blepontas,blepontas,WERPEN<i>de</i>-KIJK-<i>zijnden</i>,uitkijken<i>de zijnden</i>,WERPENde-KIJK-zijnden,uitkijkende zijnden,991,V-NIAP-APM,V-PAP-APM,W-GOAD-AMM,W-Pr-Act-Ptc-AMM,939,NULL,NULL
2771,λαλουντας,lalountas,lalountas,SPREKEN<i>de-zijnden</i>,spreken<i>de zijnden</i>,SPREKENde-zijnden,sprekende zijnden,2980,V-NIAP-APM,V-PAP-APM,W-GOAD-AMM,W-Pr-Act-Ptc-AMM,3159,NULL,NULL
2772,υγιεις,<sup>h</sup>ugieis,hugieis,GEZOND<i>e</i>,gezond<i>e</i>,GEZONDe,gezonde,5199,A-APM,A-APM,A-AMM,A-AMM,2472,NULL,NULL
2773,περιπατουντας,peripatountas,peripatountas,RONDOM-TREDEN<i>de-zijnden</i>,wandelen<i>de zijnden</i>,RONDOM-TREDENde-zijnden,wandelende zijnden,4043,V-NIAP-APM,V-PAP-APM,W-GOAD-AMM,W-Pr-Act-Ptc-AMM,4057,NULL,NULL
2774,σπλαγχνιζομαι,splagk<sup>h</sup>nizomai,splagkhnizomai,<i>(ik)-ben</i>-INGEWAND-hebben<i>de</i><sup>๏</sup>,<i>(ik) ben</i> mededogen hebben<i>de</i><sup>๏</sup>,ik-ben-INGEWAND-hebbende,ik ben mededogen hebbende,4697,V-RIMI-1S,V-PNI-1S,W-HOMA-1E,W-Pr-Med-Ind-1E,4913,NULL,NULL
2775,τρεις,treis,treis,DRIE,drie,DRIE,drie,5140,A-NPF,A-NPF,A-NVM,A-NVM,5420,NULL,NULL
2776,προσμενουσιν,prosmenousin,prosmenousin,<i>(zij)-zijn</i>-NAARTOE-BLIJVEN<i>de</i>,<i>(zij) zijn</i> verblijven<i>de</i> bij,zij-zijn-NAARTOE-BLIJVENde,zij zijn verblijvende bij,4357,V-RIAI-3P,V-PAI-3P,W-HOAA-3M,W-Pr-Act-Ind-3M,4537,NULL,NULL
2777,φαγωσιν,p<sup>h</sup>agōsin,phagosin,<i>dat-(zij)</i>-ETE+N,<i>dat (zij)</i> ete(n),dat-zij-ETE+N,dat zij ete(n),5315,V-NNAS-3P,V-2AAS-3P,W-GHAV-3M,W-2Ao-Act-Con-3M,1960,NULL,NULL
2778,νηστεις,nēsteis,nesteis,NEGATIEF-ETENd,vastend,NEGATIEF-ETENd,vastend,3523,A-APM,A-APM,A-AMM,A-AMM,3589,NULL,NULL
2779,εκλυθωσιν,eklut<sup>h</sup>ōsin,ekluthosin,<i>dat-(zij)</i>-UIT-<i>ge</i>LOS<i>t-worde-n</i>,<i>dat (zij)</i> verzwak<i>t worde(n)</i>,dat-zij-UIT-geLOSt-worde-n,dat zij verzwakt worde(n),1590,V-NNPS-3P,V-APS-3P,W-GHPV-3M,W-Ao-Pas-Con-3M,1526,NULL,NULL
2780,ερημια,erēmia,eremia,<i>aan</i>-DESOLAAT-,<i>aan</i> wildernis,aan-DESOLAAT-,aan wildernis,2047,N-DSF,N-DSF,N-DVE,N-DVE,1927,NULL,NULL
2781,τοσουτοι,tosoutoi,tosoutoi,DE-ZELFDE,zoveel,DE-ZELFDE,zoveel,5118,D-NPM,D-NPM,D-NMM,D-NMM,5400,NULL,NULL
2782,χορτασαι,k<sup>h</sup>ortasai,khortasai,<i>te</i>-VOEDERen,<i>te</i> verzadigen,te-VOEDERen,te verzadigen,5526,V-NNAN,V-AAN,W-GHAO,W-Ao-Act-Inf,1058,NULL,NULL
2783,τοσουτον,tosouton,tosouton,DE-ZELFDE,zoveel,DE-ZELFDE,zoveel,5118,D-ASM,D-ASM,D-AME,D-AME,5400,NULL,NULL
2784,ποσους,posous,posous,?-WELK-WELK,hoeveel,?-WELK-WELK,hoeveel,4214,Q-APM,Q-APM,Q-AMM,Q-AMM,4374,NULL,NULL
2785,ειπον,eipon,eipon,<i>(zij)</i>-VERZAMELEN,<i>(zij)</i> zeggen,zij-VERZAMELEN,zij zeggen,2036,V-NNAI-3P,V-2AAI-3P,W-GHAA-3M,W-2Ao-Act-Ind-3M,3181,NULL,NULL
2786,ολιγα,oliga,oliga,WEINIG,weinig,WEINIG,weinig,3641,A-APN,A-APN,A-AOM,A-AOM,3691,NULL,NULL
2787,ιχθυδια,ik<sup>h</sup>t<sup>h</sup>udia,ikhthudia,VIS-je<i>s</i>,visje<i>s</i>,VIS-jes,visjes,2485,N-APN,N-APN,N-AOM,N-AOM,2596,NULL,NULL
2788,οχλω,ok<sup>h</sup>lō,okhlo,GEDRANG,schare,GEDRANG,schare,3793,N-DSM,N-DSM,N-DME,N-DME,3647,NULL,NULL
2789,αναπεσειν,anapesein,anapesein,OPWAARTS-<i>te</i>-VALlen,<i>te</i> (gaan) aanliggen,OPWAARTS-te-VALlen,te (gaan) aanliggen,377,V-NNAN,V-2AAN,W-GHAO,W-2Ao-Act-Inf,332,NULL,NULL
2790,ελαβεν,elaben,elaben,<i>(hij)</i>-VAT,<i>(hij)</i> neem<i>t</i>,hij-VAT,hij neemt,2983,V-NNAI-3S,V-2AAI-3S,W-GHAA-3E,W-2Ao-Act-Ind-3E,3161,NULL,NULL
2791,ευχαριστησας,euk<sup>h</sup>aristēsas,eukharistesas,WEL-VERHEUGEN<i>de</i>,danken<i>de</i>,WEL-VERHEUGENde,dankende,2168,V-NNAP-NSM,V-AAP-NSM,W-GHAD-NME,W-Ao-Act-Ptc-NME,1982,NULL,NULL
2792,εκλασεν,eklasen,eklasen,<i>(hij)</i>-BREEK<i>t</i>,<i>(hij)</i> breek<i>t</i>,hij-BREEKt,hij breekt,2806,V-NNAI-3S,V-AAI-3S,W-GHAA-3E,W-Ao-Act-Ind-3E,2978,NULL,NULL
2794,σπυριδας,spuridas,spuridas,MAND<i>en</i>,mand<i>en</i>,MANDen,manden,4711,N-APF,N-APF,N-AVM,N-AVM,4924,NULL,NULL
2795,πληρεις,plēreis,plereis,VOL,vol,VOL,vol,4134,A-APF,A-APF,A-AVM,A-AVM,4284,NULL,NULL
2796,τετρακισχιλιοι,tetrakisk<sup>h</sup>ilioi,tetrakiskhilioi,VIER-MAAL-DUIZEND,vierduizend,VIER-MAAL-DUIZEND,vierduizend,5070,A-NPM,A-NPM,A-NMM,A-NMM,5260,NULL,NULL
2797,ενεβη,enebē,enebe,<i>(hij)</i>-IN-STAP<i>t</i>,<i>(hij)</i> stap<i>t</i> in,hij-IN-STAPt,hij stapt in,1684,V-NNAI-3S,V-2AAI-3S,W-GHAA-3E,W-2Ao-Act-Ind-3E,1616,NULL,NULL
2798,ορια,<sup>h</sup>oria,horia,ZIEN-<i><sup>mv</sup></i>,grenz<i>en</i>,ZIEN-,grenzen,3725,N-APN,N-APN,N-AOM,N-AOM,2429,NULL,NULL
2799,μαγαδαν,magadan,magadan,MAGADAN,Magadan,MAGADAN,Magadan,[3093],N-PRI,N-PRI,N-NAE,N-NAE,3273,NULL,NULL
2800,σαδδουκαιοι,saddoukaioi,saddoukaioi,SADDUCEEER<i>s</i>,sadduceeë<i>n</i>,SADDUCEEERs,sadduceeën,4523,N-NPM,N-NPM,N-NMM,N-NMM,4711,NULL,NULL
2801,πειραζοντες,peirazontes,peirazontes,BEPROEVEN<i>de-zijnden</i>,beproeven<i>de zijnden</i>,BEPROEVENde-zijnden,beproevende zijnden,3985,V-NIAP-NPM,V-PAP-NPM,W-GOAD-NMM,W-Pr-Act-Ptc-NMM,3994,NULL,NULL
2802,επιδειξαι,epideik<sup>s</sup>ai,epideiksai,OP-<i>te</i>-TONEN,ten toon <i>te</i> spreiden,OP-te-TONEN,ten toon te spreiden,1925,V-NNAN,V-AAN,W-GHAO,W-Ao-Act-Inf,1811,NULL,NULL
2803,επελαθοντο,epelat<sup>h</sup>onto,epelathonto,<i>(zij)</i>-OP-VERGEETachtig-zijn<sup>๏</sup>,<i>(zij)</i> vergeten<sup>๏</sup>,zij-OP-VERGEETachtig-zijn๏,zij vergeten๏,1950,V-NNMI-3P,V-2ADI-3P,W-GHMA-3M,W-2Ao-Med-Ind-3M,1837,NULL,NULL
2804,ζυμης,zumēs,zumes,GIST,zuurdesem,GIST,zuurdesem,2219,N-GSF,N-GSF,N-GVE,N-GVE,5510,NULL,NULL
2805,διελογιζοντο,dielogizonto,dielogizonto,<i>(zij)</i>-DOOR-ded<i>en</i>-VERZAMELEN<sup>๏</sup>,<i>(zij)</i> redeneerd<i>en</i><sup>๏</sup>,(zij)-DOOR-deden-VERZAMELEN๏,(zij) redeneerden๏,1260,V-PIMI-3P,V-INI-3P,W-VOMA-3M,W-Im-Med-Ind-3M,1216,NULL,NULL
2806,ελαβομεν,elabomen,elabomen,<i>(wij)</i>-VATTEN,<i>(wij)</i> nemen,wij-VATTEN,wij nemen,2983,V-NNAI-1P,V-2AAI-1P,W-GHAA-1M,W-2Ao-Act-Ind-1M,3161,NULL,NULL
2807,διαλογιζεσθε,dialogizest<sup>h</sup>e,dialogizesthe,<i>(jullie)-zijn</i>-DOOR-doen<i>de</i>-VERZAMELEN<sup>๏</sup>,<i>(jullie) zijn</i> redeneren<i>de</i><sup>๏</sup>,(jullie)-zijn-DOOR-doende-VERZAMELEN๏,(jullie) zijn redenerende๏,1260,V-RIMI-2P,V-PNI-2P,W-HOMA-2M,W-Pr-Med-Ind-2M,1216,NULL,NULL
2808,ουπω,oupō,oupo,NIET-als-nog,nog niet,NIET-als-nog,nog niet,3768,ADV-N,ADV-N,BIJW-N,BIJW-N,3792,NULL,NULL
2810,πεντακισχιλιων,pentakisk<sup>h</sup>iliōn,pentakiskhilion,VIJF-MAAL-DUIZEND,vijfduizend,VIJF-MAAL-DUIZEND,vijfduizend,4000,A-GPM,A-GPM,A-GMM,A-GMM,4008,NULL,NULL
2811,τετρακισχιλιων,tetrakisk<sup>h</sup>iliōn,tetrakiskhilion,VIER-MAAL-DUIZEND,vierduizend,VIER-MAAL-DUIZEND,vierduizend,5070,A-GPM,A-GPM,A-GMM,A-GMM,5260,NULL,NULL
2812,ποσας,posas,posas,?-WELK-WELK,hoeveel,?-WELK-WELK,hoeveel,4214,Q-APF,Q-APF,Q-AVM,Q-AVM,4374,NULL,NULL
2813,αρτων,artōn,arton,<i>van</i>-BROD<i>en</i>,<i>van</i> brod<i>en</i>,van-BRODen,van broden,740,N-GPM,N-GPM,N-GMM,N-GMM,729,NULL,NULL
2814,ειπον,eipon,eipon,<i>(ik)</i>-VERZAMEL,<i>(ik)</i> zeg,ik-VERZAMEL,ik zeg,2036,V-NNAI-1S,V-2AAI-1S,W-GHAA-1E,W-2Ao-Act-Ind-1E,3181,NULL,NULL
2815,συνηκαν,sunēkan,sunekan,<i>(zij)</i>-SAMEN-LATEN,<i>(zij)</i> begrijpen,zij-SAMEN-LATEN,zij begrijpen,4920,V-NNAI-3P,V-AAI-3P,W-GHAA-3M,W-Ao-Act-Ind-3M,5122,NULL,NULL
2816,προσεχειν,prosek<sup>h</sup>ein,prosekhein,NAARTOE-HEBBEN<i>de-te-zijn</i>,acht geven<i>de te zijn</i> op,NAARTOE-HEBBENde-te-zijn,acht gevende te zijn op,4337,V-NIAN,V-PAN,W-GOAO,W-Pr-Act-Inf,4511,NULL,NULL
2817,αρτων,artōn,arton,BROD<i>en</i>,brod<i>en</i>,BRODen,broden,740,N-GPM,N-GPM,N-GMM,N-GMM,729,NULL,NULL
2818,διδαχης,didak<sup>h</sup>ēs,didakhes,LEER-ing,onderwijs,LEER-ing,onderwijs,1322,N-GSF,N-GSF,N-GVE,N-GVE,1274,NULL,NULL
2819,καισαρειας,kaisareias,kaisareias,<i>van</i>-CAESAR-stad,<i>van</i> Caesarea,van-CAESAR-stad,van Caesarea,2542,N-GSF,N-GSF,N-GVE,N-GVE,2681,NULL,NULL
2820,φιλιππου,p<sup>h</sup>ilippou,philippou,MINNENd-PAARD,Filippus,MINNENd-PAARD,Filippus,5376,N-GSM,N-GSM,N-GME,N-GME,4146,NULL,NULL
2822,ειναι,einai,einai,<i>te</i>-ZIJN,<i>te</i> zijn,te-ZIJN,te zijn,1511 (1510),V-NIAN,V-PAN,W-GOAO,W-Pr-Act-Inf,1459,NULL,NULL
2823,βαπτιστην,baptistēn,baptisten,DOMPELer,doper,DOMPELer,doper,910,N-ASM,N-ASM,N-AME,N-AME,852,NULL,NULL
2824,αλλοι,alloi,alloi,VERANDER-,ander<i>e</i>,VERANDER-,andere,243,A-NPM,A-NPM,A-NMM,A-NMM,209,NULL,NULL
2825,ηλιαν,ēlian,elian,ELIA,Elía,ELIA,Elía,2243,N-ASM,N-ASM,N-AME,N-AME,1605,NULL,NULL
2826,ετεροι,<sup>h</sup>eteroi,heteroi,VERSCHILLEND<i>e</i>,andersoortig,VERSCHILLENDe,andersoortig,2087,A-NPM,A-NPM,A-NMM,A-NMM,2327,NULL,NULL
2827,ιερεμιαν,ieremian,ieremian,JEREMIA,Jeremia,JEREMIA,Jeremia,2408,N-ASM,N-ASM,N-AME,N-AME,2604,NULL,NULL
2828,λεγετε,legete,legete,<i>(jullie)-zijn</i>-VERZAMELEN<i>de</i>,<i>(jullie) zijn</i> zeggen<i>de</i>,jullie-zijn-VERZAMELENde,jullie zijn zeggende,3004,V-RIAI-2P,V-PAI-2P,W-HOAA-2M,W-Pr-Act-Ind-2M,3181,NULL,NULL
2829,ζωντος,zōntos,zontos,LEVEN<i>de-zijnde</i>,leven<i>de zijnde</i>,LEVENde-zijnde,levende zijnde,2198,V-NIAP-GSM,V-PAP-GSM,W-GOAD-GME,W-Pr-Act-Ptc-GME,5482,NULL,NULL
2830,σιμων,simōn,simon,SIMON!,Simon!,SIMON!,Simon!,4613,N-VSM,N-VSM,N-VME,N-VME,4805,NULL,NULL
2831,βαριωνα,bariōna,bariona,BARJONA,Barjona,BARJONA,Barjona,920,N-PRI,N-PRI,N-NAE,N-NAE,862,NULL,NULL
2832,σαρξ,sark<sup>s</sup>,sarks,VLEES,vlees,VLEES,vlees,4561,N-NSF,N-NSF,N-NVE,N-NVE,4752,NULL,NULL
2833,αιμα,<sup>h</sup>aima,haima,BLOED,bloed,BLOED,bloed,129,N-NSN,N-NSN,N-NOE,N-NOE,2214,NULL,NULL
2834,απεκαλυψεν,apekalup<sup>s</sup>en,apekalupsen,<i>(hij)</i>-VANAF-DEK<i>t</i>,<i>(hij)</i> onthul<i>t</i>,het-VANAF-DEKt,het onthult,601,V-NNAI-3S,V-AAI-3S,W-GHAA-3E,W-Ao-Act-Ind-3E,580,NULL,NULL
2835,ταυτη,tautē,taute,<i>aan</i>-DE/HET-ZELFDE,<i>aan</i> deze,aan-DE/HET-ZELFDE,aan deze,3778,D-DSF,D-DSF,D-DVE,D-DVE,5404,NULL,NULL
