num,hebreeuws,text,BDB,pos
2899,טוֹב אֲדֹנִיָּהוּ,"Towb Adoniyahuw, <i>tobe ado-nee-yah'-hoo</i>;  from 'towb' (<a class=""SR"">H2896</a>) and ''Adoniyah' (<a class=""SR"">H138</a>); pleasing (to) Adonijah; Tob-Adonijah, an Israelite:--Tob-adonijah.","Tob-adonijah = ""my Lord is good""<br>1) one of the Levites sent by Jehoshaphat through the cities of Judah to teach the law to the people<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2896</a> and <a class='SR'>H138</a>",n-pr-m
2900,טוֹבִיָּהוּ,"Towbiyah, <i>to-bee-yaw'</i>;  or Towbiyahuw {to-bee-yaw'-hoo}; from 'towb' (<a class=""SR"">H2896</a>) and 'Yahh' (<a class=""SR"">H3050</a>); goodness of Jehovah; Tobijah, the name of three Israelites and of one Samaritan:--Tobiah, Tobijah.","Tobiah = ""Jehovah is good""<br>1) head of a family who returned from exile with Zerubbabel but who were unable to prove their connection with Israel<br>2) the Ammonite who with Sanballat opposed the rebuilding of Jerusalem<br>3) a Levite in the reign of Jehoshaphat<br>4) a chief of the returning exiles<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2896</a> and <a class='SR'>H3050</a>",
2901,טָוָה,"tavah, <i>taw-vaw'</i>;  a primitive root; to spin:--spin.",1) (Qal) to spin<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root,v
2902,טוּחַ,"tuwach, <i>too'-akh</i>;  a primitive root; to smear, especially with lime:--daub, overlay, plaister, smut.","1) to spread over, overlay, plaster, cover over, coat, besmear<br><div class=""s15p"">1a) (Qal) to overspread, coat, overlay</div><div class=""s15p"">1b) (Niphal) to be coated, be plastered</div>2) (Qal) to be besmeared<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2903,טוֹפָפָה,"towphaphah, <i>to-faw-faw'</i>;  from an unusued root meaning to go around or bind; a fillet for the forehead:--frontlet.","1) bands, phylacteries, frontlets, marks<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from an unused root meaning to go around or bind",n-f
2904,טוּל,"tuwl, <i>tool</i>;  a primitive root; to pitch over or reel; hence (transitively) to cast down or out:--carry away, (utterly) cast (down, forth, out), send out.","1) to hurl, cast<br><div class=""s15p"">1a) (Pilpel) to throw away, carry away, hurl</div><div class=""s15p"">1b) (Hiphil) to throw, cast, cast out</div><div class=""s15p"">1c) (Hophal)</div><div class=""s30p"">1c1) to be hurled, hurled down</div><div class=""s30p"">1c2) to be cast, be thrown, be cast out, be thrown down</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2905,טוּר,"tuwr, <i>toor</i>;  from an unused root meaning to range in a regular manner; a row; hence, a wall:--row.","1) row<br><div class=""s15p"">1a) row, course (of building)</div><div class=""s15p"">1b) row (of jewels)</div>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from an unused root meaning to range in a regular manner",n-m
2906,טוּר,"tuwr, <i>toor</i>;  (Aramaic) corresponding to 'tsuwr' (<a class=""SR"">H6697</a>); a rock or hill:--mountain.",1) mountain<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H6697</a>,n-m
2907,טוּשׂ,"tuws, <i>toos</i>;  a primitive root; to pounce as a bird of prey:--haste.","1) (Qal) to dart, flutter, rush<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2908,טְוָת,"tvath, <i>tev-awth'</i>;  (Aramaic) from a root corresponding to 'tavah' (<a class=""SR"">H2901</a>); hunger (as twisting):--fasting.","1) fasting, fastingly, hungrily<br>Part of Speech: adverb <br>A Related Word by BDB/Strong's Number: from a root corresponding to <a class='SR'>H2901</a>",adv
2909,טָחָה,"tachah, <i>taw-khaw'</i>;  a primitive root; to stretch a bow, as an archer:--(bow-)shot.","1) to hurl, shoot<br><div class=""s15p"">1a) (Piel) a bowshot (participle)</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2910,טֻחָה,"tuwchah, <i>too-khaw'</i>;  from 'tachah' (<a class=""SR"">H2909</a>) (or 'tuwach' (<a class=""SR"">H2902</a>)) in the sense of overlaying; (in the plural only) the kidneys (as being covered); hence (figuratively) the inmost thought:--inward parts.","1) inner regions, hidden recesses, inward parts<br>Part of Speech: noun feminine plural<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2909</a> (or <a class='SR'>H2902</a>) in the sense of overlaying",n-f
2911,טְחוֹן,"tchown, <i>tekh-one'</i>;  from 'tachan' (<a class=""SR"">H2912</a>); a hand mill; hence, a millstone:--to grind.","1) mill, grinding mill, hand mill<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2912</a>",n-m
2912,טָחַן,"tachan, <i>taw-khan'</i>;  a primitive root; to grind meal; hence, to be a concubine (that being their employment):--grind(-er).","1) (Qal) to grind, crush<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2913,טַחֲנָה,"tachanah, <i>takh-an-aw'</i>;  from 'tachan' (<a class=""SR"">H2912</a>); a hand mill; hence (figuratively) chewing:--grinding.",1) mill<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2912</a>,n-f
2914,טְחֹר,"tchor, <i>tekh-ore'</i>;  from an unused root meaning to burn; a boil or ulcer (from the inflammation), especially a tumor in the anus or pudenda (the piles):--emerod.","1) tumours, haemorrhoids<br>Part of Speech: noun masculine plural<br>A Related Word by BDB/Strong's Number: from an unused root meaning to burn",n-m
2915,טִיחַ,"tiyach, <i>tee'akh</i>;  from (the equiv. of) 'tuwach' (<a class=""SR"">H2902</a>); mortar or plaster:--daubing.","1) a coating, plaster<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from (the equiv. of) <a class='SR'>H2902</a>",n-m
2916,טִיט,"tiyt, <i>teet</i>;  from an unused root meaning apparently to be sticky (rath. perb. a demon. from 'tuw'' (<a class=""SR"">H2894</a>), through the idea of dirt to be swept away); mud or clay; figuratively, calamity:--clay, dirt, mire.","1) mud, clay, mire, damp dirt<br><div class=""s15p"">1a) mud, mire</div><div class=""s15p"">1b) clay (poetical)</div>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from an unused root meaning apparently to be sticky [rath perb. a demon. From <a class='SR'>H2894</a>, through the idea of dirt to be swept away]",n-m
2917,טִין,"tiyn, <i>teen</i>;  (Aramaic) perhaps, by interchange, for a word corresponding to 'tiyt' (<a class=""SR"">H2916</a>); clay:--miry.","1) clay<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: perhaps, by interchange, for a word corresponding to <a class='SR'>H2916</a>",n-m
2918,טִירָה,"tiyrah, <i>tee-raw'</i>;  feminine of (an equivalent to) 'tuwr' (<a class=""SR"">H2905</a>); a wall; hence, a fortress or a hamlet:--(goodly) castle, habitation, palace, row.","1) encampment, battlement<br><div class=""s15p"">1a) encampment, tent camp</div><div class=""s15p"">1b) walled dwelling places, battlement (metaphorically)</div><div class=""s15p"">1c) row (of stones)</div>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from (an equivalent to) <a class='SR'>H2905</a>",n-f
2919,טַל,"tal, <i>tal</i>;  from 'talal' (<a class=""SR"">H2926</a>); dew (as covering vegetation):--dew.","1) dew, night mist<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2926</a>",n-m
2920,טַל,"tal, <i>tal</i>;  (Aramaic) the same as 'tal' (<a class=""SR"">H2919</a>):--dew.",1) dew<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: the same as <a class='SR'>H2919</a>,n-m
2921,טָלָא,"tala', <i>taw-law'</i>;  a primitive root; properly, to cover with pieces; i.e. (by implication) to spot or variegate (as tapestry):--clouted, with divers colours, spotted.","1) to patch, spot, be spotted, be coloured<br><div class=""s15p"">1a) (Qal)</div><div class=""s30p"">1a1) to spot</div><div class=""s30p"">1a2) spotted (participle)</div><div class=""s15p"">1b) (Pual) to be patched</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2922,טְלָא,"tla', <i>tel-aw'</i>;  apparently from 'tala'' (<a class=""SR"">H2921</a>) in the (orig.) sense of covering (for protection); a lamb (compare 'taleh' (<a class=""SR"">H2924</a>)):--lamb.",1) lamb<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: apparently from <a class='SR'>H2921</a> in the (original) sense of covering (for protection),n-m
2923,טְלָאִים,"Tla'iym, <i>tel-aw-eem'</i>;  from the plural of 'tla'' (<a class=""SR"">H2922</a>); lambs; Telaim, a place in Palestine:--Telaim.","Telaim = ""lambs""<br>1) a place in Judah where Saul mustered his forces before attacking Amalek; site unknown<br>Part of Speech: noun proper locative<br>A Related Word by BDB/Strong's Number: from the plural of <a class='SR'>H2922</a>",n-pr-loc
2924,טָלֶה,"taleh, <i>taw-leh'</i>;  by variation for 'tla'' (<a class=""SR"">H2922</a>); a lamb:--lamb.",1) lamb<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: by variation for <a class='SR'>H2922</a>,n-m
2925,טַלְטֵלָה,"taltelah, <i>tal-tay-law'</i>;  from 'tuwl' (<a class=""SR"">H2904</a>); overthrow or rejection:--captivity.","1) a hurling, captivity<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2904</a>",n-f
2926,טָלַל,"talal, <i>taw-lal'</i>;  a primitive root; properly, to strew over, i.e. (by implication) to cover in or plate (with beams):--cover.","1) (Piel) to cover with a roof, cover over, roof<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2927,טְלַל,"tlal, <i>tel-al'</i>;  (Aramaic) corresponding to 'talal' (<a class=""SR"">H2926</a>); to cover with shade:--have a shadow.","1) (Aphel) to seek shade, have shade<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H2926</a>",v
2928,טֶלֶם,"Telem, <i>teh'-lem</i>;  from an unused root meaning to break up or treat violently; oppression; Telem, the name of a place in Idumaea, also of a temple doorkeeper:--Telem.","Telem = ""oppression""<br>1) a gatekeeper among the returning exiles in the time of Ezra (noun proper masculine)<br>2) one of the cities in the extreme south of Judah in the Negeb (noun proper locative)<br>Part of Speech: see above in Definition<br>A Related Word by BDB/Strong's Number: from an unused root meaning to break up or treat violently",n-pr-m n-pr-loc
2929,טַלְמוֹן,"Talmown, <i>tal-mone'</i>;  from the same as 'chargol' (<a class=""SR"">H2728</a>); oppressive; Talmon, a temple doorkeeper:--Talmon.","Talmon = ""oppressor""<br>1) the head of a family of doorkeepers in the temple; some of his descendants returned from exile with Zerubbabel and were employed in their hereditary office in the days of Nehemiah and Ezra<br><div class=""s15p"">1a) possibly two other doorkeepers in the time of Nehemiah</div>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from the same as <a class='SR'>H2728</a>",n-pr-m
2930,טָמֵא,"tame', <i>taw-may'</i>;  a primitive root; to be foul, especially in a ceremial or moral sense (contaminated):--defile (self), pollute (self), be (make, make self, pronounce) unclean, X utterly.","1) to be unclean, become unclean, become impure<br><div class=""s15p"">1a) (Qal) to be or become unclean</div><div class=""s30p"">1a1) sexually</div><div class=""s30p"">1a2) religiously</div><div class=""s30p"">1a3) ceremonially</div><div class=""s15p"">1b) (Niphal)</div><div class=""s30p"">1b1) to defile oneself, be defiled</div><div class=""s45p"">1b1a) sexually</div><div class=""s45p"">1b1b) by idolatry</div><div class=""s45p"">1b1c) ceremonially</div><div class=""s30p"">1b2) to be regarded as unclean</div><div class=""s15p"">1c) (Piel)</div><div class=""s30p"">1c1) to defile</div><div class=""s45p"">1c1a) sexually</div><div class=""s45p"">1c1b) religiously</div><div class=""s45p"">1c1c) ceremonially</div><div class=""s30p"">1c2) to pronounce unclean, declare unclean (ceremonially)</div><div class=""s30p"">1c3) to profane (God's name)</div><div class=""s15p"">1d) (Pual) to be defiled</div><div class=""s15p"">1e) (Hithpael) to be unclean</div><div class=""s15p"">1f) (Hothpael) to be defiled</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2931,טָמֵא,"tame', <i>taw-may'</i>;  from 'tame'' (<a class=""SR"">H2930</a>); foul in a relig. sense:--defiled, + infamous, polluted(-tion), unclean.","1) unclean, impure<br><div class=""s15p"">1a) ethically and religiously</div><div class=""s15p"">1b) ritually</div><div class=""s15p"">1c) of places</div>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2930</a>",a
2932,טֻמְאָה,"tum'ah, <i>toom-aw'</i>;  from 'tame'' (<a class=""SR"">H2930</a>); religious impurity:--filthiness, unclean(-ness).","1) uncleanness<br><div class=""s15p"">1a) sexual</div><div class=""s15p"">1b) of filthy mass</div><div class=""s15p"">1c) ethical and religious</div><div class=""s15p"">1d) ritual</div><div class=""s15p"">1e) local (of nations)</div>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2930</a>",n-f
2933,טָמָה,"tamah, <i>taw-maw'</i>;  a collateral form of 'tame'' (<a class=""SR"">H2930</a>); to be impure in a religious sense:--be defiled, be reputed vile.","1) (Niphal) to be stopped up<br><div class=""s15p"">1a) to be regarded as unclean (metaplastic)</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a collateral form of <a class='SR'>H2930</a>",v
2934,טָמַן,"taman, <i>taw-man'</i>;  a primitive root; to hide (by covering over):--hide, lay privily, in secret.","1) to hide, conceal, bury<br><div class=""s15p"">1a) (Qal)</div><div class=""s30p"">1a1) to hide</div><div class=""s30p"">1a2) hiding, concealing, secretly laying (participle)</div><div class=""s30p"">1a3) darkness (participle)</div><div class=""s15p"">1b) (Niphal) to hide oneself</div><div class=""s15p"">1c) (Hiphil) to hide</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2935,טֶנֶא,"tene', <i>teh'-neh</i>;  from an unused root probably meaning to weave; a basket (of interlaced osiers):--basket.",1) basket<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from an unused root probably meaning to weave,n-m
2936,טָנַף,"tanaph, <i>taw-naf'</i>;  a primitive root; to soil:--defile.","1) (Piel) to defile, soil<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2937,טָעָה,"ta`ah, <i>taw-aw'</i>;  a primitive root; to wander; ,causatively to lead astray:--seduce.","1) to wander, stray, wander astray, err<br><div class=""s15p"">1a) (Hiphil)</div><div class=""s30p"">1a1) to seduce</div><div class=""s30p"">1a2) to cause to go astray</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2938,טָעַם,"ta`am, <i>taw-am'</i>;  a primitive root; to taste; figuratively, to perceive:--X  but, perceive, taste.","1) to taste, perceive, eat<br><div class=""s15p"">1a) (Qal) to taste</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2939,טְעַם,"t`am, <i>teh-am'</i>;  (Aramaic) corresponding to 'ta`am' (<a class=""SR"">H2938</a>); to taste; causatively to feed:--make to eat, feed.","1) (Peal) to feed, cause to eat<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H2938</a>",v
2940,טַעַם,"ta`am, <i>tah'-am</i>;  from 'ta`am' (<a class=""SR"">H2938</a>); properly, a taste, i.e. (figuratively) perception; by implication, intelligence; transitively, a mandate:-- advice, behaviour, decree, discretion, judgment, reason, taste, understanding.","1) taste, judgment<br><div class=""s15p"">1a) taste</div><div class=""s15p"">1b) judgment (figuratively)</div><div class=""s15p"">1c) decision, decree</div>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2938</a>",n-m
2941,טַעַם,"ta`am, <i>tah'-am</i>;  (Aramaic) from 't`am' (<a class=""SR"">H2939</a>); properly, a taste, i.e. (as in 'ta`am' (<a class=""SR"">H2940</a>)) a judicial sentence:--account, X to be commanded, commandment, matter.","1) taste, judgment, command<br><div class=""s15p"">1a) taste</div><div class=""s15p"">1b) judgment, discretion</div><div class=""s15p"">1c) report</div><div class=""s15p"">1d) command</div>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2939</a>",n-m
2942,טְעֵם,"t`em, <i>teh-ame'</i>;  (Aramaic) from 't`am' (<a class=""SR"">H2939</a>), and equivalent to 'ta`am' (<a class=""SR"">H2941</a>); properly, flavor; figuratively, judgment (both subjective and objective); hence, account (both subj. and obj.):--+ chancellor, + command, commandment, decree, + regard, taste, wisdom.","1) decree, taste, judgment, command<br><div class=""s15p"">1a) taste</div><div class=""s15p"">1b) judgment, discretion</div><div class=""s15p"">1c) report</div><div class=""s15p"">1d) command</div>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2939</a>, and equivalent to <a class='SR'>H2941</a>",n-m
2943,טָעַן,"ta`an, <i>taw-an'</i>;  a primitive root; to load a beast:--lade.",1) (Qal) to load<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root,v
2944,טָעַן,"ta`an, <i>taw-an'</i>;  a primitive root; to stab:--thrust through.",1) (Pual) to pierce<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root,v
2945,טַף,"taph, <i>taf</i>;  from 'taphaph' (<a class=""SR"">H2952</a>) (perhaps referring to the tripping gait of children); a family (mostly used collectively in the singular):--(little) children (ones), families.","1) children, little children, little ones<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2952</a> (perhaps referring to the tripping gait of children)",n-m
2946,טָפַח,"taphach, <i>taw-fakh'</i>;  a primitive root; to flatten out or extend (as a tent); figuratively, to nurse a child (as promotive of growth); or perhaps a denom. from 'tephach' (<a class=""SR"">H2947</a>), from dandling on the palms:--span, swaddle.","1) to extend, spread, trip, take quick little steps<br><div class=""s15p"">1a) (Piel)</div><div class=""s30p"">1a1) to spread out</div><div class=""s30p"">1a2) to carry on the palms, dandle</div><div class=""s30p"">1a3) to rear children</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2947,טֵפַח,"tephach, <i>tay'-fakh</i>;  from 'taphach' (<a class=""SR"">H2946</a>); a spread of the hand, i.e. a palm- breadth (not ""span"" of the fingers); architecturally, a corbel (as a supporting palm):--coping, hand-breadth.","1) span, width of the hand, hand breadth<br><div class=""s15p"">1a) a unit of measurement, measurement of length</div>2) coping (an architectural term)<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2946</a>",n-m
2948,טֹפַח,"tophach, <i>to'-fakh</i>;  from 'taphach' (<a class=""SR"">H2946</a>) (the same as 'tephach' (<a class=""SR"">H2947</a>)):--hand-breadth (broad).","1) span, hand breadth<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2946</a> (the same as <a class='SR'>H2947</a>)",n-m
2949,טִפֻּח,"tippuch, <i>tip-pookh'</i>;  from 'taphach' (<a class=""SR"">H2946</a>); nursing:--span long.","1) tender care, dandling<br>Part of Speech: noun masculine plural<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2946</a>",n-m
2950,טָפַל,"taphal, <i>taw-fal'</i>;  a primitive root; properly, to stick on as a patch; figuratively, to impute falsely:--forge(-r), sew up.","1) (Qal) to smear, plaster over, stick, glue<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2951,טִפְסַר,"tiphcar, <i>tif-sar'</i>;  of foreign derivation; a military governor:--captain.","1) scribe, official, marshal<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: of foreign derivation",n-m
2952,טָפַף,"taphaph, <i>taw-faf'</i>;  a primitive root; apparently to trip (with short steps) coquettishly:--mince.","1) (Qal) to skip, trip, take quick little steps<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2953,טְפַר,"tphar, <i>tef-ar'</i>;  (Aramaic) from a root corresponding to 'tsaphar' (<a class=""SR"">H6852</a>), and meaning the same as 'tsipporen' (<a class=""SR"">H6856</a>); a finger-nail; also a hoof or claw:--nail.","1) fingernail, nail, claw<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from a root corresponding to <a class='SR'>H6852</a>, and meaning the same as <a class='SR'>H6856</a>",n-m
2954,טָפַשׁ,"taphash, <i>taw-fash'</i>;  a primitive root; properly, apparently to be thick; figuratively, to be stupid:--be fat.","1) (Qal) to be gross, be insensitive, be fat<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2955,טָפַת,"Taphath, <i>taw-fath'</i>;  probably from 'nataph' (<a class=""SR"">H5197</a>); a dropping (of ointment); Taphath, an Israelitess:--Taphath.","Taphath = ""ornament""<br>1) the daughter of Solomon who was married to Ben-Abinadab<br>Part of Speech: noun proper feminine<br>A Related Word by BDB/Strong's Number: probably from <a class='SR'>H5197</a>",n-pr-f
2956,טָרַד,"tarad, <i>taw-rad'</i>;  a primitive root; to drive on; figuratively, to follow close:--continual.","1) to pursue, chase, be continuous<br><div class=""s15p"">1a) (Qal) dripping (participle)</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2957,טְרַד,"trad, <i>ter-ad'</i>;  (Aramaic) corresponding to 'tarad' (<a class=""SR"">H2956</a>); to expel:--drive.","1) (Peal) to drive away, drive from, chase away<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H2956</a>",v
2958,טְרוֹם,"trowm, <i>ter-ome'</i>;  a variation of 'terem' (<a class=""SR"">H2962</a>); not yet:--before.","1) before, not yet, before that, ere (of time)<br>Part of Speech: conjunction<br>A Related Word by BDB/Strong's Number: a variation of <a class='SR'>H2962</a>",conj
2959,טָרַח,"tarach, <i>taw-rakh'</i>;  a primitive root; to overburden:--weary.","1) (Hiphil) to burden, toil, be burdened<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2960,טֹרַח,"torach, <i>to'-rakh</i>;  from 'tarach' (<a class=""SR"">H2959</a>); a burden:--cumbrance, trouble.",1) burden<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2959</a>,n-m
2961,טָרִי,"tariy, <i>taw-ree'</i>;  from an unused root apparently meaning to be moist; properly, dripping; hence, fresh (i.e. recently made such):--new, putrefying.","1) fresh, new<br>Part of Speech: adjective feminine<br>A Related Word by BDB/Strong's Number: from an unused root apparently meaning to be moist",a-f
2962,טֶרֶם,"terem, <i>teh'-rem</i>;  from an unused root apparently meaning to interrupt or suspend; properly, non-occurrence; used adverbially, not yet or before:--before, ere, not yet.","1) before, not yet, before that<br>Part of Speech: preposition<br>A Related Word by BDB/Strong's Number: from an unused root apparently meaning to interrupt or suspend",prep
2963,טָרַף,"taraph, <i>taw-raf'</i>;  a primitive root; to pluck off or pull to pieces; causatively to supply with food (as in morsels):--catch, X without doubt, feed, ravin, rend in pieces, X surely, tear (in pieces).","1) to tear, rend, pluck<br><div class=""s15p"">1a) (Qal) to tear, rend</div><div class=""s15p"">1b) (Niphal) to be torn in pieces</div><div class=""s15p"">1c) (Poal) to be torn in pieces</div><div class=""s15p"">1d) (Hiphil) to provide food</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2964,טֶרֶף,"tereph, <i>teh'-ref</i>;  from 'taraph' (<a class=""SR"">H2963</a>); something torn, i.e. a fragment, e.g. a fresh leaf, prey, food:--leaf, meat, prey, spoil.","1) prey, food, leaf<br><div class=""s15p"">1a) prey</div><div class=""s15p"">1b) food</div><div class=""s15p"">1c) leaf</div>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2963</a>",n-m
2965,טָרָף,"taraph, <i>taw-rawf'</i>;  from 'taraph' (<a class=""SR"">H2963</a>); recently torn off, i.e. fresh:--pluckt off.","1) freshly picked, freshly plucked, fresh-plucked<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2963</a>",a
2966,טְרֵפָה,"trephah, <i>ter-ay-faw'</i>;  feminine (collectively) of 'tereph' (<a class=""SR"">H2964</a>); prey, i.e. flocks devoured by animals:--ravin, (that which was) torn (of beasts, in pieces).","1) that which is torn, animal torn (by beasts)<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from (collectively) <a class='SR'>H2964</a>",n-f
2967,טַרְפְּלַי,"Tarplay, <i>tar-pel-ah'-ee</i>;  (Aramaic) from a name of foreign derivation; a Tarpelite (collectively) or inhabitants of Tarpel, a place in Assyria:--Tarpelites.","Tarpelites = ""they of the fallen (or wondrous) mountain""<br>1) the group of Assyrian colonists who were planted in the cities of Samaria after the captivity of the northern kingdom of Israel; identity uncertain<br>Part of Speech: noun patrial masculine<br>A Related Word by BDB/Strong's Number: from a name of foreign derivation",n-m
2968,יָאַב,"ya'ab, <i>yaw-ab'</i>;  a primitive root; to desire:--long.","1) (Qal) to long, long for, desire<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2969,יָאָה,"ya'ah, <i>yaw-aw'</i>;  a primitive root; to be suitable:--appertain.","1) (Qal) to pertain to, befit, be befitting<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
2970,יַאֲזַנְיָהוּ,"Ya'azanyah, <i>yah-az-an-yaw'</i>;  or Ya.azanyahuw {yah-az-an-yaw'-hoo}; from ''azan' (<a class=""SR"">H238</a>) and 'Yahh' (<a class=""SR"">H3050</a>); heard of Jah; Jaazanjah, the name of four Israelites:-- Jaazaniah. Compare 'Yzanyah' (<a class=""SR"">H3153</a>).","Jaazaniah = ""Jehovah hears""<br>1) a Judean, son of the Maachathite, a captain of the Judean forces who visited Gedaliah at Mizpah after Gedaliah had been appointed governor of Judah by Nebuchadnezzar<br>2) son of Shaphan, an elder of Israel in the days of Ezekiel<br>3) son of Azur, one of the princes of the people against whom Ezekiel was directed to prophesy<br>4) a Rechabite, son of Jeremiah the prophet<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H238</a> and <a class='SR'>H3050</a>",
2971,יָאִיר,"Ya'iyr, <i>yaw-ere'</i>;  from ''owr' (<a class=""SR"">H215</a>); enlightener; Jair, the name of four Israelites:--Jair.","Jair = ""he enlightens""<br>1) a descendant of Manasseh who conquered many towns during the time of the conquest<br>2) the Gileadite, a judge of Israel for 22 years during the time of the judges; father of 30 sons<br>3) a Benjamite, son of Kish, and father of Mordecai<br>4) father of Elhanan, one of David's mighty warriors<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H215</a>",n-pr-m
2972,יָאִרִי,"Ya'iriy, <i>yaw-ee-ree'</i>;  patronymically from 'Ya'iyr' (<a class=""SR"">H2971</a>); a Jairite or descendant of Jair:--Jairite.","Jairite = ""descendant of Jair""<br>1) a descendant of Jair<br><div class=""s15p"">1a) Ira the Jairite was a priest to David</div>Part of Speech: noun patrial masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H2971</a>",n-m
2973,יָאַל,"ya'al, <i>yaw-al'</i>;  a primitive root; properly, to be slack, i.e. (figuratively) to be foolish:--dote, be (become, do) foolish(-ly).","1) to be foolish, become fools, act foolishly, show wicked folly<br><div class=""s15p"">1a) (Niphal)</div><div class=""s30p"">1a1) to show wicked folly</div><div class=""s30p"">1a2) to become fools</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
