id,vid,tekst,type
193,47003008,"<div>Als de bediening van Paulus, de <b>dienst van de <a class=""mw"">geest</a></b>, het ""nieuwe verbond"" genoemd wordt, dat dus na het oude komt, en het oude, dat geen leven maar dood bracht, al kwam in heerlijkheid, hoeveel meer dan de dienst van de <a class=""mw"">geest</a>?</div>",3
194,47003009,"<div>Een lamp die 's nachts genoeg licht geeft valt weg als die tegen een felle middagzon gehouden wordt. Zo valt de wet, een helder vertoon van Gods <a class=""mw"">rechtvaardigheid</a> en <a class=""mw"">rechtvaardig</a> oordelen, in het niet bij de dienst van de gerechtigheid van God, die hij om niet geeft aan ons (<a class=""l"">Rom 3:21-24</a>). Ze had heerlijkheid, maar verloor die toen de nieuwe bediening, zoals verkondigd door Paulus, zijn intrede deed (zie ook <a class=""l"">3:10</a>).</div>",3
195,47003012,"<div>Mozes plaatste een bedekking over zijn gezicht, om voor het volk te verbergen dat de heerlijkheid van de wet eens zou verdwijnen (<a class=""l"">3:7,13</a>), en deed dat tot hij weer naar de aanwezigheid van de Heer ging. Maar nu Paulus een bediening heeft die niet verdwijnt, één die in heerlijkheid ver boven de wet uit gaat, handelt hij <b>met veel vrijmoedigheid</b>, in tegenstelling tot Mozes. </div><br><div>Vergelijk dit vers ook met <a class=""l"">2:17</a>, waar hij eveneens zijn manier van spreken verdedigt.</div>",3
196,47003014,"<div>Hoewel de wet veelvuldig gelezen werd, bleef voor de Joden verborgen wat Mozes zelf ook al verborgen had, dat het oude verbond zou verdwijnen, en in Christus een nieuw verbond is. Telkens als de wet gelezen werd, was deze <b>bedekking</b> op hun hart, en alleen <b>in Christus</b>, als ze dus de Christus geloofden die Paulus verkondigde, dan werd deze bedekking weggenomen door de <a class=""mw"">geest</a> van de Heer (<a class=""l"">3:17</a>).</div><br><div>Hoe groot is het contrast. De wet leidde van heerlijkheid tot duisternis. De dienst van de <a class=""mw"">geest</a> en de <a class=""mw"">genade</a> leidt van heerlijkheid tot heerlijkheid (<a class=""l"">3:18</a>).</div>",3
197,47003017,"<div>Ook aan de Galaten, die weer wilden terugkeren naar de wet, gebruikt Paulus de tegenstelling tussen wet en vrijheid (<a class=""l"">Gal 5:1</a>, zie ook de vergelijking in <a class=""l"">Gal 4:21-26</a>), waar hij het zelfs een ""juk van slavernij"" noemt (zie ook <a class=""l"">Hand 15:10</a>). Als de <a class=""mw"">geest</a> van de Heer de bedekking wegneemt, en duidelijk wordt dat de wet het oude verbond is dat verdwijnt, dan krijgt de gelovige <a class=""mw"">genade</a> en vrijheid in Christus.</div>",3
198,47003018,"<div><b>in een spiegel ziend</b> – Vroeger gebruikte men gepolijst metaal als spiegel. Dit gaf echter niet zo'n helder beeld als de spiegels die wij vandaag de dag kennen, en het koste dan ook meer moeite om jezelf te zien of op te maken dan een vlugge blik. Het beeld hier gaat dan ook niet om een vlug kijken naar de heerlijkheid van de Heer, maar voortdurend. Wellicht, omdat je dus het vage spiegelbeeld wat beter moest bestuderen, duidt het beeld ook op het in dit leven bestuderen van de heerlijkheid van de Heer.</div>",2
199,47003018,"<div>Paulus bracht niet, zoals Mozes deed, een verdwijnende heerlijkheid mee vanaf de Sinaï. De heerlijkheid van de Heer, die hij voortdurend bekeek, zoals wij onszelf in de spiegel bekijken, die werd juist steeds meer, ging <b>vanuit heerlijkheid tot heerlijkheid</b>. Wie de heerlijkheid van de Heer bekijkt en bestudeert, wordt <b>getransformeerd</b> naar Zijn beeld.</div><br><div>Ook in Paulus' brieven zien we deze opbouw naar steeds meer heerlijkheid terug. Hij verkreeg <a class=""mw"">genade</a> op weg naar Damascus, deelde in Antiochië in Pisidië de <a class=""mw"">rechtvaardiging</a> voor een ieder die in Hem gelooft mee (<a class=""l"">Hand 13:38,39</a>), schreef over de boodschap van <a class=""mw"">verzoening</a> eerst aan de Korintiërs (<a class=""l"">5:18-20</a>), en deelde uiteindelijk vanuit de gevangenis in Rome de geheimenissen en de volle waarheden met ons, de overstijgende heerlijkheid zoals die in de volkomenheidsbrieven staan. Het ging van <a class=""mw"">genade</a> tot <a class=""mw"">genade</a> en van heerlijkheid tot heerlijkheid.</div>",3
200,47004002,"<div><b>wij versmaden de verborgen <b>schandelijke </b>dingen</b> – Mogelijk reageert Paulus hier niet op een directe beschuldiging van de Korintiërs, maar wijst de handelingen af van andere sprekers, Sofisten en andere filosofen, die op veel manieren vergelijkbaar te werk gingen met Paulus, maar er daarnaast dubieuze praktijken op na hielden. Ook zij gingen van stad tot stad, verzamelden volgelingen, spraken over morele thema's en haalden collecten op e.d. Maar zij werden ervan beschuldigd hun leer ""te verkopen"" (zie ook <a class=""l"">2:17</a>&nbsp;en voetnoot bij <a class=""dl"" name=""VOETNOTEN_47003012"" contenteditable=""false"">2Kor 3:12</a>), overspel te plegen en te frauderen.</div>",2
201,47004002,"<div><b>door de openbaring van de waarheid onszelf aanbevelend</b> – Zoals ook in <a class=""l"">3:1</a> e.v. voelt Paulus niet de behoefte met veel argumenten zichzelf aan te bevelen. De waarheid van het woord van God, waarvoor zij gezonden waren om die te brengen, die is betrouwbaar, en beveelt daarmee ook hen aan die de boodschap brengen (net zoals in <a class=""l"">1:18</a>, zie voetnoot bij <a class=""dl"" name=""VOETNOTEN_47001012"">2Kor 1:12</a>).</div>",3
202,47004003,"<div>Zie <a class=""l"">3:14-16</a>.</div>",5
203,47004004,"<div>Onder Joodse schrijvers is te zien dat in de tijd voor het Nieuwe Testament er steeds meer oog kwam voor de satan en boze <a class=""mw"">geesten</a>, en hoe die de mensen beïnvloeden, naast de verleidingen van het vlees. Dit is een concept dat in het Oude Testament nauwelijks aandacht kreeg, maar door deze Joodse schrijvers er later wel bij gelezen werd. Waar bijvoorbeeld God in Genesis Adam ter verantwoording roept voor zijn <a class=""mw"">zonde</a>, valt de schuld in <i>1Enoch</i> en <i>Jubileeën</i> helemaal op satan. Evenzo wordt God vrijgepleit van het geven van de opdracht Isaak te offeren, het doden van de eerstgeborenen van Egypte en het verharden van het hart van Farao.</div><br><div>Ook Paulus erkent de verregaande en in het Oude Testament wellicht onderbelichte invloed van satan op de mensen in deze <a class=""mw"">eon</a>, maar gaat daarin minder ver dan zijn Joodse medeschrijvers en spreekt nog steeds over de tijd dat wij allen rekenschap zullen moeten geven voor God (<a class=""l"">Rom 14:12</a>) en schrijft nog steeds de eerste <a class=""mw"">zonde</a> aan Adam toe (<a class=""l"">Rom 5:12</a>), net als het verharden van het hart van Farao (<a class=""l"">Rom 9:17,18</a>). Hij beschrijft hoe de <a class=""mw"">geest</a> het is die ons gelovigen de kracht geeft de verleidingen van het vlees en de aanvallen van satan en andere <a class=""mw"">geestelijke</a> machten te weerstaan en in goede werken te kunnen wandelen (<a class=""l"">Rom 8:9-11</a>), zodat wij overwinnen en niet meer overheerst worden door de god van deze <a class=""mw"">eon</a>. De ongelovigen echter liggen nog geheel in het volmachtsgebied van de duisternis <span>(<a class=""l"">Efe 4:18</a>; <a class=""l"">Kol 1:13</a>) en zijn dus verblind.</span></div>",2
204,47004004,"Zij die door de god van deze <a class=""mw"">eon</a> blind zijn geworden zien de heerlijkheid van Christus niet, en omdat Christus het beeld van de onzichtbare God is, en de afstraling van Gods heerlijkheid (<a class=""l"">Heb 1:3</a>), zien en erkennen ze ook God en Zijn heerlijkheid niet.",3
205,47004004,"<b>het evangelie van de heerlijkheid van Christus</b> – Als dat toch eens centraal stond in onze evangelie verkondiging – Zijn heerlijkheid – en niet <a class=""mw"">zonde</a>, zelfheiliging en onze eigen gevoelens of ons zelf (<a class=""l"">4:5</a>). Blijkbaar valt hij niet alleen ongelovigen aan, ook onder gelovigen wordt het evangelie maar al te snel ergens anders op gericht. Ook vandaag worden gelovigen snel weggenomen van de eenvoudigheid van Christus, en nemen ze snel een “andere Jezus” aan als die verkondigd wordt (<a class=""l"">11:3,4</a>).",3
206,47004004,"<div><b>Die het beeld is van de onzichtbare God</b> – Christus is het beeld van de onzichtbare God (<a class=""l"">Kol 1:15</a>), Die een ontoegankelijk licht bewoont (<a class=""l"">1Tim 6:16</a>). Wie het Oude Testament leest kan hier vragen bij hebben, want dikwijls is God daar zichtbaar, hoorbaar en toegankelijk. Een verklaring hiervoor is te vinden in het feit dat Christus Zijn Beeld is, en Hem dus zichtbaar en hoorbaar maakte, en dat daarnaast regelmatig achteraf boodschappers gedaan bleken te hebben wat aan <a class=""mw"">Jahweh</a> werd toegeschreven, zoals bij het geven van de wet (<a class=""l"">Hand 7:53</a>). Dat Christus namens God handelt verklaart ook waarom Hij bij gelegenheid de titel God krijgt of met de <a class=""mw"">Jahweh</a> uit het Oude Testament geïdentificeerd wordt. Wat de precieze relatie tussen God en Christus is en wat het betekent dat Christus soms de titel God krijgt is belangrijk voor de discussie over het dogma van de 3-eenheid, zie <div class=""zoek-oc"" name=""4731"">Drie-eenheid?</div>.</div>",6
208,47004005,"<div><b>Want wij verkondigen niet onszelf</b> – Wederom lijkt Paulus zich hier weer af te zetten tegen de populaire leraren van die tijd, de Sofisten, die rondgingen en hun leer verkondigden, maar daarbij vooral uit waren op hun eigen roem (zie ook voetnoot bij <a class=""dl"" name=""VOETNOTEN_47003012"" contenteditable=""false"">2Kor 3:12</a>). Zo beschrijft Epictetus hoe de Sofisten hun publiek opriepen: ""Maar prijs mij! ... Roep naar mij 'Bravo' of 'Wonderlijk'!"". Ook Seneca was scherp over deze leraren, die door hun verlangen uit te sloven hun voor de hand liggende verhandelingen niet deden bijdragen aan het algemene welzijn: ""Maar uitspraken die over de waarheid gaan zouden onversierd en eenvoudig moeten zijn. Deze populaire stijl heeft niets te maken met de waarheid, maar is er om indruk te maken op de kudde gewone mensen.""</div>",2
209,47004006,"<b><span>Uit</span><span></span><span>duisternis</span><span><span class=""Apple-converted-space""> </span></span><span>zal</span><span><span class=""Apple-converted-space""> </span></span><span>licht</span><span><span class=""Apple-converted-space""> </span></span></b><b>stralen</b> – Zie <a class=""l"">Gen 1:2-4</a>",5
210,47004006,"<div><b>God ... Die straalt in onze harten tot verlichting van de kennis van de heerlijkheid van God</b> –&nbsp;Dit kan op verschillende manieren opgevat worden. De kennis van de heerlijkheid van God kan verlicht worden voor onszelf, zodat we het zien en begrijpen, en het in ons hart geschreven wordt volgens <a class=""l"">3:2,3</a>. Maar in diezelfde verzen lezen we dat zij de brief van Christus openbaar maakten. De kennis van de heerlijkheid van God kan ook door ons heen gaan schijnen, en zo weer anderen verlichten.</div><br><div>Door de toevoeging <b>in</b> of op <b>het aangezicht van Christus </b>denken vele uitleggers dat Paulus hier in een beeld refereert aan zijn eigen ontmoeting met Christus op weg naar Damascus (<a class=""l"">Hand 9:3-6</a>), en hoe dat zijn ogen had geopend en de heerlijkheid van Christus in zijn hart was gaan stralen. </div>",3
211,47004007,"<div><b>Wij hebben een schat in aarden vaten</b> – Het evangelie dat Paulus brengt gaat over de heerlijkheid van Christus, en daarmee de heerlijkheid van God. Het doel is dan ook niet ons zelf te verheerlijken, maar God. En dit werkt het beste door contrast, door de dragers van het evangelie broos en breekbaar te maken. Juist in onze zwakheid is Gods kracht zichtbaar (<a class=""l"">12:9</a>). Om dit te illustreren gebruikt Paulus het beeld van een aarden vat met daarin een schat. De schat vergaat niet, maar het vat wordt snel verbroken. Daarom hebben we Gods kracht nodig om in Zijn dienst te staan, en is dus <b>de kracht van God en niet van ons</b>.</div>",3
212,47004008,"<div>In deze opsomming met schijnbare tegenstellingen zullen de Korintiërs de stijl herkend hebben van de Stoïcijnen en Cynici. Zo omschreef Plutarchus hen met de woorden: ""mishandeld, is zonder verwonding; gevallen tijdens het worstelen, is onoverwinnelijk; belegerd, is ondoordringbaar; als slaaf verkocht door zijn vijanden, is niet gevangen genomen"". Het doel van het noemen van dat waar ze allemaal doorheen gegaan zijn is bij Paulus echter anders dan bij de Stoïcijnen. Het was niet om zichzelf neer te zetten, maar om zijn houding als dienaar van Christus te omschrijven, zie <a class=""l"">6:3-10</a> en <a class=""l"">11:23-33</a>.</div>",2
214,47004010,"<div><b>opdat<span class=""Apple-converted-space""> </span>ook<span class=""Apple-converted-space""> </span>het<span class=""Apple-converted-space""> </span>leven<span class=""Apple-converted-space""> </span>van<span class=""Apple-converted-space""> </span>Jezus<span class=""Apple-converted-space""> </span>in<span class=""Apple-converted-space""> </span>ons lichaam<span class=""Apple-converted-space""> </span>openbaar gemaakt zou worden</b> – Juist door het lijden van de apostel heen werd Jezus zichtbaar, die ook verdrukt, vervolgd en nedergeworpen werd, omdat de wereld Hem niet erkende. Elders spreekt hij zelfs van het aanvullen van wat ontbreekt aan de verdrukkingen van Christus (<a class=""l"">Kol 1:24</a>). Daar, net als hier, lijdt hij terwille van de <a class=""mw"">gemeente</a>, zie&nbsp;<a class=""l"">4:12,15</a>.</div>",3
215,47004013,"<div><b>Ik geloof, daarom spreek ik ook</b> – Paulus citeert hier <a class=""l"">Psalm 116:10</a>. In die Psalm is het thema, net als in de context van dit vers, lijden. Evenals in deze verzen wordt dat lijden vergeleken met de dood (<a class=""l"">Psalm 116:3,8,9</a>), en evenals in <a class=""l"">4:14</a> en eerder in <a class=""l"">1:9,10</a> spreekt de Psalmist over <a class=""mw"">Jahweh</a> die hem redt uit de dood en uit zijn verdrukkingen.</div>",4
216,47004013,"<div>Paulus verdedigt hier weer zijn spreken en zijn boodschap, die onder kritiek lag bij de Korintiërs (<a class=""l"">12:19</a>; <a class=""l"">13:3</a>). Hij geeft aan dat dezelfde <a class=""mw"">geest</a> die door <a class=""mw"">geloof</a> de Psalmist inspireerde ook zijn woorden inspireert. Dit thema waarin hij zijn spreken verdedigt kwam al voor in <a class=""l"" style=""color: rgb(44, 62, 80);"">2:17</a> en wordt weer opgepakt in <a class=""l"" style=""color: rgb(44, 62, 80);"">5:11</a>.</div>",7
217,47004015,"<div><b><span>opdat</span><span><span class=""Apple-converted-space""> </span></span><span>de</span><span><span class=""Apple-converted-space""> </span></span><span><a class=""mw"">genade</a></span><span>,<span class=""Apple-converted-space""> </span></span><span>toenemend</span><span><span class=""Apple-converted-space""> </span></span><span>vanwege</span><span><span class=""Apple-converted-space""> </span></span><span>het</span><span><span class=""Apple-converted-space""> </span></span><span>merendeel,</span><span><span class=""Apple-converted-space""> </span></span><span>de</span><span><span class=""Apple-converted-space""> </span></span><span>dank</span><span><span class=""Apple-converted-space""> </span></span><span>doet overvloeien</span><span>,<span class=""Apple-converted-space""> </span></span><span>tot</span><span><span class=""Apple-converted-space""> </span></span><span>heerlijkheid</span><span><span class=""Apple-converted-space""> </span></span><span>van<span class=""Apple-converted-space""> </span></span><span>God</span></b> – Dit laatste gedeelte van het vers is lastig te vertalen, en het Grieks laat een aantal alternatieve vertalingen toe.</div><br><div>Nu is ""het merendeel"" vertaald, maar het zou ook opgevat kunnen worden als (steeds) <b>meer</b> (mensen). In plaats van het merendeel van een bestaande groep, een toenemende groep. Dan neemt de <a class=""mw"">genade</a> toe, omdat steeds meer mensen deel krijgen aan de boodschap van <a class=""mw"">genade</a>.</div><br><div>De Engelse CV heeft niet ""de<span class=""Apple-converted-space""> </span>dank<span class=""Apple-converted-space""> </span>doet overvloeien"" maar ""(in) dank overvloeit"". Dan is het niet de dank die door de <a class=""mw"">genade</a> toeneemt, maar de <a class=""mw"">genade</a> die ""in dank"", gepaard met dank, overvloeit. Dit verandert niet veel aan de betekenis van het hele vers. Vanuit het Grieks is deze vertaling echter minder waarschijnlijk. De 4e naamval waarin <i>dank</i> staat wordt alleen bij zeer specifieke woorden als bijwoord gebruikt, en dat is verder niet bekend bij dit woord. De 4e naamval wordt juist vrijwel uitsluitend gebruikt om het lijdend voorwerp aan te geven, zoals nu ook vertaald is. Meestal komt het werkwoord overvloeien, <a class=""ghw"" name=""G_l_4069""><span class=""ncv-GH""><span class=""translit"">perisseuō</span><span class=""Greek"">περισσευω</span></span></a>, in het Grieks zonder lijdend voorwerp voor, maar een enkele keer met, zie bijv. <a class=""l"">1Thes 3:12</a>.</div><br><div>Technisch gezien is de volgende vertaling ook mogelijk vanuit het Grieks: ""opdat de <a class=""mw"">genade</a>, toenemend vanwege de dank van het merendeel, overvloeit tot heerlijkheid van God.""<b>&nbsp;</b>In dit geval hoort <a class=""ghw"" name=""G_l_1177""><span class=""ncv-GH""><span class=""Greek"">δια</span></span></a>  niet bij ""het merendeel"", maar bij ""de dank"", en is het niet de dank die overvloeit, maar de <a class=""mw"">genade</a> zelf. Deze vertaling is moeilijk uit te leggen, omdat niet duidelijk is waar ""de dank van het merendeel"" op slaat, en hoe de dank de <a class=""mw"">genade</a> doet overvloeien. Je zou het eerder andersom verwachten, zoals in de huidige vertaling, dat de <a class=""mw"">genade</a> juist dank voortbrengt.</div>",1
218,47004014,"<div>In zijn eerste brief aan de Korintiërs had Paulus al de noodzaak van de opstanding van Christus aangegeven. Indien Hij niet was opgestaan, dan had de boodschap geen inhoud, het <a class=""mw"">geloof</a> leeg, ijdel, en zijn wij nog in onze <a class=""mw"">zonden</a> en zullen wij niet opstaan (<a class=""l"">1Kor 15:14-18</a>). Maar, zo schreef hij daar al, Christus is opgewekt, als Eersteling. En de eersteling is de garantie dat de rest gaan volgen.</div><br><div>Dat is ook de redenering van Paulus hier. Omdat Christus is opgewekt zullen ook zij opgewekt worden, en tezamen met zijn geliefde Korintiërs gepresenteerd worden voor het erepodium van God, de <a class=""ghw"" name=""G_l_905""><span class=""ncv-GH""><span class=""translit"">bēma</span><span class=""Greek"">βημα</span></span></a>, waar alles rechtgezet zal worden en de vruchten van zijn werk zullen blijken.</div>",3
219,47004016,"<div>Hier zien we eenzelfde beeldspraak als we in <a class=""l"">4:7</a> zagen. De uiterlijke mens is broos, breekbaar, vergaat. In ons heeft echter het evangelie van de heerlijkheid van Christus en van God geschenen, en het is op ons hart geschreven (<a class=""l"">3:3</a>; <a class=""l"">4:4</a>). In ons zit de schat van het evangelie, de verwachting van een toekomst waarin God ons zal opwekken, niet in een broos aards lichaam, maar een hemels (<a class=""l"">1Kor 15:40-44</a>; <a class=""l"">2Kor 5:1</a>). En hoewel we nu verdrukking en lijken meemaken, zal dit straks een bovenmatige hoeveelheid heerlijkheid bewerken die niet vergaat, <a class=""mw"">eonisch</a> is (<a class=""l"">4:17</a>).</div><br><div>Het is deze verwachting die nu al <b>van dag tot dag</b> in ons werkzaam is. Door de kracht die de <a class=""mw"">geest</a> in ons dode lichaam brengt, zijn we toch in staat in Zijn dienst te staan (<a class=""l"">Rom 8:9-11</a>), standvastig te worden (<a class=""l"">Efe 3:16</a>) en ons gedrag te veranderen (zie bijv. de nieuwe mens, <a class=""l"">Efe 4:23-24</a>; <a class=""l"">Kol 3:16</a>). Verderop noemt Paulus dit een ""nieuwe schepping"" (<a class=""l"">5:17</a>). Ondanks dat onze uiterlijke mens vervalt, Paulus meermalen wat hij meemaakte beschreef als sterven of de dood vrezen (<a class=""l"">1:8-10</a>; <a class=""l"">4:7-12</a>), verandert zijn innerlijk, en wordt getransformeerd, om steeds meer zoals de Heer te zijn (<a class=""l"">3:18</a>).</div>",3
220,47004017,"<div>Als Paulus zijn vele beproevingen (zie <a class=""l"">4:8-12</a>; <a class=""l"">6:3-10</a>; <a class=""l"">11:23-33</a>) beschrijft als kortstondig en licht, hoe zullen wij onze beproevingen dan noemen? Voor het schrijven van deze brief had hij tot God geroepen om de doorn in zijn vlees (<a class=""l"">12:7</a>). Maar alles wat hij meemaakte, was voor hem in vergelijking met de alles overstijgende heerlijkheid die we verwachten niets, licht, kort (zie ook <a class=""l"">Rom 8:18</a>).</div><br><div>Interessant is ook zijn bewoording. Wij zouden spreken over over onze huidige lasten, en hoe we geen last meer hebben in de opstanding, maar hij keert het om. Hij noemt zijn huidige last licht, en spreekt van een alles verre te boven gaande <i>last</i> van heerlijkheid. Deze toekomende last van heerlijkheid is zo groot dat onze huidige lichamen die niet zouden kunnen dragen. Daarom krijgen we ook een hemels lichaam in de opstanding (<a class=""l"">1Kor 15:40-44</a>).</div>",3
221,47004018,"<div>Doordat wij in ons leven vooral onze tijdelijke aardse lasten en beproevingen zien, en niet de alles overstijgende heerlijkheid die toekomend is, lijken onze lasten zwaar. Want wat we meemaken, waar we mee worstelen, dat zien we, wat we nog niet zien, dat is <a class=""mw"">eonisch</a>, blijft voor de duur van de wereldtijdperken.</div>",3
222,47004017,"<div><b>onze verdrukking effectueert voor ons ... heerlijkheid</b> – Merk op dat Paulus hier expliciet zegt dat onze verdrukking het is dat die alles overstijgende last van heerlijkheid teweeg brengt. Nog veel gelovigen scheiden al het kwade en negatieve van God. God is immers goed, dus kan er niets negatiefs van Hem komen. Het gaat buiten Hem om, heeft geen plek in Zijn plan. Hoe anders spreekt de Bijbel over kwaad, verdrukking en lijden! Het werkt, net als al het andere, mee tot het goede (<a class=""l"">Rom 8:28</a>), het maakt ons nederig (<a class=""l"">Pred 1:13</a>; <a class=""l"">2Kor 12:7</a>), is zelfs <a class=""mw"">genade</a> (<a class=""l"">Fil 1:29</a>) en hier zegt Paulus dat het juist de verdrukking is die de heerlijkheid bewerkt. Zie ook de voetnoten bij <a class=""dl"" name=""VOETNOTEN_47002006"">2Kor 2:6</a> en <a class=""dl"" name=""VOETNOTEN_47004010"">2Kor 4:10</a>.</div>",6
223,47004018,"<div>Hier staat het <b>tijdelijke</b> tegenover het <b>eonische</b>. In de discussie hoelang <a class=""mw"">eonisch</a> is, of dat eindeloze eeuwigheid is of spreekt over tijdens de tijdperken, wordt dit vers wel eens aangehaald om te bewijzen dat <a class=""mw"">eonisch</a> niet een beperkte tijd kan zijn, niet tijdelijk kan zijn, omdat het juist <i>tegenover</i> tijdelijk staat. Hoe aannemelijk dit ook klinkt, dit klopt vooral in het Nederlands. Tijdelijk is een relatief begrip. In vergelijking met een mensenleven is een jaargetijde tijdelijk. In vergelijking met de tijd dat de aarde bestaat is een mensenleven weer tijdelijk.</div><br><div>Bestudering van de twee Griekse woorden werpt licht op de zaak. Het ""tijdelijk"" in de vertaling komt van het woord <a class=""ghw"" name=""G_l_4519""><span class=""ncv-GH""><span class=""translit"">proskairon</span><span class=""Greek"">προσκαιρον</span></span></a>, wat weer komt van <a class=""ghw"" name=""G_l_2679""><span class=""ncv-GH""><span class=""translit"">kairos</span><span class=""Greek"">καιρος</span></span></a>, wat duidt op een <i><a class=""mw"">era</a></i>, een <i>periode</i>, <i>seizoen</i> of zelfs maar een enkel <i>ogenblik</i>. <a class=""ghw"" name=""G_l_4519""><span class=""ncv-GH""><span class=""translit"">proskairon</span><span class=""Greek"">προσκαιρον</span></span></a> betekent dan ook zoveel als <i>gedurende een periode/seizoen/ogenblik</i>. Dit staat in de zin tegenover <a class=""ghw"" name=""G_l_123""><span class=""ncv-GH""><span class=""translit"">aiōnion</span><span class=""Greek"">αιωνιον</span></span></a>, <a class=""mw"">eonisch</a>, wat slaat op <i>gedurende de wereldtijdperk(en)</i>. Het gaat dus hier niet over tijdelijk tegenover  een eindeloze eeuwigheid – wat als filosofisch concept vreemd is aan de Bijbel – maar over een periode/seizoen/ogenblik tegenover de wereldtijdperk(en). Zie ook de woordstudie bij <a class=""ghw"" name=""G_l_122""><span class=""ncv-GH""><span class=""translit"">aiōn</span><span class=""Greek"">αιων</span></span></a> en het onderwerp <div class=""zoek-oc"" name=""1611"">Eeuwig en eeuwigheid</div>.</div>",6
226,47005001,"<div>In de discussie of <a class=""ghw"" name=""G_l_122""><span class=""ncv-GH""><span class=""translit"">aiōn</span><span class=""Greek"">αιων</span></span></a> op een eindeloze eeuwigheid wijst, wordt geregeld gewezen naar <a class=""l"">4:18</a>, waar tijdelijk tegenover <a class=""mw"">eonisch</a> staat. Dit vers kan dan eveneens aangehaald worden. Want als <a class=""mw"">eonisch</a> niet eindeloos is, dan is het toekomstige lichaam dat we krijgen, wat eveneens <a class=""mw"">eonisch</a> is, ook niet eindeloos? Dit argument is zeer vergelijkbaar met de stelling dat als de eeuwige straf niet eindeloos is, het eeuwige leven dan ook niet eindeloos is. Dit klinkt aardig, maar ziet een belangrijk feit over het hoofd. Als <a class=""mw"">eonisch</a> beschrijft dat iets gedurende de <a class=""mw"">eonen</a> zo is, dan wordt daarmee niet gezegd dat het daarbuiten ook niet geldt, maar legt de nadruk op datgene gedurende de <a class=""mw"">eonen</a>. Zie de woordstudie bij <a class=""ghw"" name=""G_l_123""><span class=""ncv-GH""><span class=""translit"">aiōnion</span><span class=""Greek"">αιωνιον</span></span></a> voor een uitgebreidere discussie over dit argument.</div>",6
225,47005001,"<div>Ons huidige lichaam wordt hier vergeleken met een tent zoals de Bedoeïenen die hadden. Zij trokken rond, zo'n tent was maar een tijdelijke woonplaats. Zo is ook ons aardse zichtbare lichaam tijdelijk.  Als dat lichaam afgebroken wordt, sterft, en we op een gegeven moment weer opstaan, dan krijgen we een nieuw lichaam. Dit wordt vergeleken met een echt huis, iets wat blijft staan. Ons toekomstige lichaam is hemels, <a class=""mw"">geestelijk</a>, en daardoor niet tijdelijk maar <a class=""mw"">eonisch</a> (zie ook <a class=""l"">4:18</a>).</div>",3
224,47005001,"<div><b>Want wij weten</b> – Hiermee zet Paulus de gedachte uit <a class=""l"">4:16-18</a> voort. Ook daarin lezen we al dat de uiterlijke mens verrot, maar de innerlijke vernieuwd wordt, door de verwachting van de toekomst die beloofd is en de kracht van de <a class=""mw"">geest</a> in ons.</div>",7
227,47005002,"<b><span>Want</span><span><span class=""Apple-converted-space""> </span></span><span>hier</span><span>in</span><span><span class=""Apple-converted-space""> </span></span><span>zuchten wij</span><span><span class=""Apple-converted-space""> </span></span><span>ook</span><span>,<span class=""Apple-converted-space""> </span></span></b><b>verlangend</b> – Ons leven wordt hiermee samengevat door Paulus: zuchten en verlangen. Wij zuchten onder het feit dat onze uiterlijke mens verrot (<a class=""l"">4:16</a>), en onder onze verdrukking, terwijl we verlangen naar de heerlijkheid van straks (<a class=""l"">4:18</a>), ons hemelse, eonische huis (<a class=""l"">5:1</a>).",4
228,47005002,"<div><b>overkleed te worden</b> – Waar Paulus eerder over twee toestanden sprak, het huidige lichaam en het toekomstige lichaam (<a class=""l"">4:16</a> - <a class=""l"">5:1</a>), komt hier een derde toestand in de overweging mee. Hij verlangt ernaar overkleed te worden, niet naakt bevonden te worden. Naakt is hier niet met een huis, een lichaam, bekleed, dood. Hij hoopt dus nog levend te zijn op het moment dat zijn lichaam veranderd wordt in een hemels lichaam, en hij niet eerst zouden hoeven sterven en dood zouden zijn tot de terugkomst (<a class=""l"">1Kor 15:51,52</a>; zie ook <a class=""l"">1Thes 4:13-17</a>). In de Schrift is de dood altijd een onwelkome gast, een vijand. Wij verlangen niet naar de dood, maar naar  de opstanding, opwekking en levendmaking. Ook de apostel, in zijn broze bestaan, verkoos altijd de komst van de Heer boven zijn eigen dood.</div>",3
